,Job Title,Job Company,Job Location,Company Rating,Company Rating Numbers,Company Size,Company Founded,Company Type,Company Industry,Company Sector,Company Revenue,Level,Minimum,Maximum,Currency,Category,Company ,Role
105,Machine Learning Engineer,Bolt,"San Francisco, CA",4.7,99,51 to 200 Employees,2014,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Normal,87000.0,167000.0,USD,Data Science,,Machine Learning
106,Genomics Staff Data Scientist,Lawrence Berkeley National Laboratory,"San Francisco, CA",4.4,142,1001 to 5000 Employees,1931,Government,Research & Development,Business Services,$500 million to $1 billion (USD),Normal,94000.0,170000.0,USD,Data Science,,Data Science
107,Software Engineer - Big Data,Uber,"San Francisco, CA",4.0,3142,10000+ Employees,2009,Company - Public,Internet,Information Technology,$10+ billion (USD),Normal,105000.0,197000.0,USD,Data Science,,Data Engineer
108,Data Scientist,TEKsystems,"Martinez, CA",4.0,1812,1001 to 5000 Employees,1983,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),Normal,166400.0,166400.0,USD,Data Science,,Data Science
109,Senior Data Science Manager - Internal Platforms Science,Indeed,"San Francisco, CA",4.3,703,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),Senior,179000.0,259000.0,USD,Data Science,,Data Science
110,Senior Machine Learning Engineer,Uber,"San Francisco, CA",4.0,3142,10000+ Employees,2009,Company - Public,Internet,Information Technology,$10+ billion (USD),Senior,107000.0,198000.0,USD,Data Science,,Machine Learning
111,Senior Product Scientist - Candidate Delivery,Indeed,"San Francisco, CA",4.3,703,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD),Senior,118000.0,170000.0,USD,Data Science,,Data Science
112,"Postdoctoral Scholar - Data Science Program, School of Information",Excelon Associates,"Berkeley, CA",4.8,1,1 to 50 Employees,2007,Company - Private,Staffing & Outsourcing,Business Services,Less than $1 million (USD),Normal,60000.0,65000.0,USD,Data Science,,Data Science
113,Senior Data Engineer,Harnham,"San Francisco, CA",4.0,19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),Senior,170000.0,190000.0,USD,Data Science,,Data Engineer
114,Director of Data Science,Harnham,"San Francisco, CA",4.0,19,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),Normal,180000.0,220000.0,USD,Data Science,,Data Science
115,"Data Scientist, Analytics - Customer Experience","Twitch Interactive, Inc.","San Francisco, CA",3.7,4703,10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD),Normal,97000.0,189000.0,USD,Data Science,,Data Analyst
116,"Data Scientist, Analytics - Customer Experience",Twitch,"San Francisco, CA",3.9,229,1001 to 5000 Employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,Normal,99000.0,196000.0,USD,Data Science,,Data Analyst
